Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,EV-SIM,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
1,76ERS,146.760000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,UVARC,146.780000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
3,UARC,146.620000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
4,AREA,147.480000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
5,CITY,145.770000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
6,UCARES,147.340000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
7,UCAREZ,147.280000,+,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
8,L-ERC,147.020000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
9,IMIT,147.120000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
10,SINBAD,147.080000,+,0.600000,Tone,77.0,88.5,023,NN,FM,5.00,,,,,,
11,UVARC1,448.200000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
12,WESTRF,449.425000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
13,UC-SIM,147.340000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
14,ERCSIM,147.020000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
15,EU-SIM,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
16,MURS4,154.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
17,MURS5,154.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
18,FRS18,462.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
19,FRS19,462.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
20,FRS20,462.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
21,WX1,162.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
22,SUND,145.250000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
23,AFCYN,448.225000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
24,TERT,145.630000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
25,MARTY,147.140000,+,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
26,EAGLE,145.230000,-,0.600000,Tone,131.8,88.5,023,NN,FM,5.00,,,,,,
27,LEHI,448.875000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
28,BYU,145.330000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
29,BUTTER,145.450000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
30,IRIDGE,448.400000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
31,STWIDE,155.505000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
32,UTCO,153.950000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
